name,location,country
Albert Park Grand Prix Circuit,Melbourne,Australia
Sepang International Circuit,Kuala Lumpur,Malaysia
Bahrain International Circuit,Sakhir,Bahrain
Circuit de Barcelona-Catalunya,Montmeló,Spain
Istanbul Park,Istanbul,Turkey
Circuit de Monaco,Monte-Carlo,Monaco
Circuit Gilles Villeneuve,Montreal,Canada
Circuit de Nevers Magny-Cours,Magny Cours,France
Silverstone Circuit,Silverstone,UK
Hockenheimring,Hockenheim,Germany
Hungaroring,Budapest,Hungary
Valencia Street Circuit,Valencia,Spain
Circuit de Spa-Francorchamps,Spa,Belgium
Autodromo Nazionale di Monza,Monza,Italy
Marina Bay Street Circuit,Marina Bay,Singapore
Fuji Speedway,Oyama,Japan
Shanghai International Circuit,Shanghai,China
Autódromo José Carlos Pace,São Paulo,Brazil
Indianapolis Motor Speedway,Indianapolis,USA
Nürburgring,Nürburg,Germany
Autodromo Enzo e Dino Ferrari,Imola,Italy
Suzuka Circuit,Suzuka,Japan
Las Vegas Strip Street Circuit,Las Vegas,United States
Yas Marina Circuit,Abu Dhabi,UAE
Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina
Circuito de Jerez,Jerez de la Frontera,Spain
Autódromo do Estoril,Estoril,Portugal
Okayama International Circuit,Okayama,Japan
Adelaide Street Circuit,Adelaide,Australia
Kyalami,Midrand,South Africa
Donington Park,Castle Donington,UK
Autódromo Hermanos Rodríguez,Mexico City,Mexico
Phoenix street circuit,Phoenix,USA
Circuit Paul Ricard,Le Castellet,France
Korean International Circuit,Yeongam County,Korea
Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil
Detroit Street Circuit,Detroit,USA
Brands Hatch,Kent,UK
Circuit Park Zandvoort,Zandvoort,Netherlands
Zolder,Heusden-Zolder,Belgium
Dijon-Prenois,Dijon,France
Fair Park,Dallas,USA
Long Beach,California,USA
Las Vegas Street Circuit,Nevada,USA
Jarama,Madrid,Spain
Watkins Glen,New York State,USA
Scandinavian Raceway,Anderstorp,Sweden
Mosport International Raceway,Ontario,Canada
Montjuïc,Barcelona,Spain
Nivelles-Baulers,Brussels,Belgium
Charade Circuit,Clermont-Ferrand,France
Circuit Mont-Tremblant,Quebec,Canada
Rouen-Les-Essarts,Rouen,France
Le Mans,Le Mans,France
Reims-Gueux,Reims,France
Prince George Circuit,Eastern Cape Province,South Africa
Zeltweg,Styria,Austria
Aintree,Liverpool,UK
Circuito da Boavista,Oporto,Portugal
Riverside International Raceway,California,USA
AVUS,Berlin,Germany
Monsanto Park Circuit,Lisbon,Portugal
Sebring International Raceway,Florida,USA
Ain Diab,Casablanca,Morocco
Pescara Circuit,Pescara,Italy
Circuit Bremgarten,Bern,Switzerland
Circuit de Pedralbes,Barcelona,Spain
Buddh International Circuit,Uttar Pradesh,India
Circuit of the Americas,Austin,USA
Red Bull Ring,Spielberg,Austria
Sochi Autodrom,Sochi,Russia
Baku City Circuit,Baku,Azerbaijan
Autódromo Internacional do Algarve,Portimão,Portugal
Autodromo Internazionale del Mugello,Mugello,Italy
Jeddah Corniche Circuit,Jeddah,Saudi Arabia
Losail International Circuit,Al Daayen,Qatar
Miami International Autodrome,Miami,USA
